c9ea		 BPL (0x10) 		 A:40 P:a4
c9ec		 JMP (0x4c) 		 A:40 P:a4
c9f3		 NOP (0xea) 		 A:40 P:a4
c9f4		 LDA (0xa9) 		 A:80 P:a4
c9f6		 CMP (0xc9) 		 A:80 P:a5
c9f8		 BEQ (0xf0) 		 A:80 P:a5
c9fa		 BPL (0x10) 		 A:80 P:a5
c9fc		 BCC (0x90) 		 A:80 P:a5
c9fe		 JMP (0x4c) 		 A:80 P:a5
ca05		 NOP (0xea) 		 A:80 P:a5
ca06		 CMP (0xc9) 		 A:80 P:27
ca08		 BNE (0xd0) 		 A:80 P:27
ca0a		 BMI (0x30) 		 A:80 P:27
ca0c		 BCC (0x90) 		 A:80 P:27
ca0e		 JMP (0x4c) 		 A:80 P:27
ca15		 NOP (0xea) 		 A:80 P:27
ca16		 CMP (0xc9) 		 A:80 P:a4
ca18		 BCS (0xb0) 		 A:80 P:a4
ca1a		 BEQ (0xf0) 		 A:80 P:a4
ca1c		 BPL (0x10) 		 A:80 P:a4
ca1e		 JMP (0x4c) 		 A:80 P:a4
ca25		 NOP (0xea) 		 A:80 P:a4
ca26		 CMP (0xc9) 		 A:80 P:25
ca28		 BCC (0x90) 		 A:80 P:25
ca2a		 BEQ (0xf0) 		 A:80 P:25
ca2c		 BMI (0x30) 		 A:80 P:25
ca2e		 JMP (0x4c) 		 A:80 P:25
ca35		 NOP (0xea) 		 A:80 P:25
ca36		 BIT (0x24) ZeroPage(1)=255		 A:80 P:e5
ca38		 LDY (0xa0) 		 A:80 P:65
ca3a		 CPY (0xc0) 		 A:80 P:67
ca3c		 BNE (0xd0) 		 A:80 P:67
ca3e		 BMI (0x30) 		 A:80 P:67
ca40		 BCC (0x90) 		 A:80 P:67
ca42		 BVC (0x50) 		 A:80 P:67
ca44		 JMP (0x4c) 		 A:80 P:67
ca4b		 NOP (0xea) 		 A:80 P:67
ca4c		 CLV (0xB8) 		 A:80 P:27
ca4d		 CPY (0xc0) 		 A:80 P:25
ca4f		 BEQ (0xf0) 		 A:80 P:25
ca51		 BMI (0x30) 		 A:80 P:25
ca53		 BCC (0x90) 		 A:80 P:25
ca55		 BVS (0x70) 		 A:80 P:25
ca57		 JMP (0x4c) 		 A:80 P:25
ca5e		 NOP (0xea) 		 A:80 P:25
ca5f		 CPY (0xc0) 		 A:80 P:a4
ca61		 BEQ (0xf0) 		 A:80 P:a4
ca63		 BPL (0x10) 		 A:80 P:a4
ca65		 BPL (0x10) 		 A:80 P:a4
ca67		 JMP (0x4c) 		 A:80 P:a4
ca6e		 NOP (0xea) 		 A:80 P:a4
ca6f		 LDY (0xa0) 		 A:80 P:a4
ca71		 CPY (0xc0) 		 A:80 P:a5
ca73		 BEQ (0xf0) 		 A:80 P:a5
ca75		 BPL (0x10) 		 A:80 P:a5
ca77		 BCC (0x90) 		 A:80 P:a5
ca79		 JMP (0x4c) 		 A:80 P:a5
ca80		 NOP (0xea) 		 A:80 P:a5
ca81		 CPY (0xc0) 		 A:80 P:27
ca83		 BNE (0xd0) 		 A:80 P:27
ca85		 BMI (0x30) 		 A:80 P:27
ca87		 BCC (0x90) 		 A:80 P:27
ca89		 JMP (0x4c) 		 A:80 P:27
ca90		 NOP (0xea) 		 A:80 P:27
ca91		 CPY (0xc0) 		 A:80 P:a4
ca93		 BCS (0xb0) 		 A:80 P:a4
ca95		 BEQ (0xf0) 		 A:80 P:a4
ca97		 BPL (0x10) 		 A:80 P:a4
ca99		 JMP (0x4c) 		 A:80 P:a4
caa0		 NOP (0xea) 		 A:80 P:a4
caa1		 CPY (0xc0) 		 A:80 P:25
caa3		 BCC (0x90) 		 A:80 P:25
caa5		 BEQ (0xf0) 		 A:80 P:25
caa7		 BMI (0x30) 		 A:80 P:25
caa9		 JMP (0x4c) 		 A:80 P:25
cab0		 NOP (0xea) 		 A:80 P:25
cab1		 BIT (0x24) ZeroPage(1)=255		 A:80 P:e5
cab3		 LDX (0xa2) 		 A:80 P:65
cab5		 CPX (0xe0) 		 A:80 P:67
cab7		 BNE (0xd0) 		 A:80 P:67
cab9		 BMI (0x30) 		 A:80 P:67
cabb		 BCC (0x90) 		 A:80 P:67
cabd		 BVC (0x50) 		 A:80 P:67
cabf		 JMP (0x4c) 		 A:80 P:67
cac6		 NOP (0xea) 		 A:80 P:67
cac7		 CLV (0xB8) 		 A:80 P:27
cac8		 CPX (0xe0) 		 A:80 P:25
caca		 BEQ (0xf0) 		 A:80 P:25
cacc		 BMI (0x30) 		 A:80 P:25
cace		 BCC (0x90) 		 A:80 P:25
cad0		 BVS (0x70) 		 A:80 P:25
cad2		 JMP (0x4c) 		 A:80 P:25
cad9		 NOP (0xea) 		 A:80 P:25
cada		 CPX (0xe0) 		 A:80 P:a4
cadc		 BEQ (0xf0) 		 A:80 P:a4
cade		 BPL (0x10) 		 A:80 P:a4
cae0		 BPL (0x10) 		 A:80 P:a4
cae2		 JMP (0x4c) 		 A:80 P:a4
cae9		 NOP (0xea) 		 A:80 P:a4
caea		 LDX (0xa2) 		 A:80 P:a4
caec		 CPX (0xe0) 		 A:80 P:a5
caee		 BEQ (0xf0) 		 A:80 P:a5
caf0		 BPL (0x10) 		 A:80 P:a5
caf2		 BCC (0x90) 		 A:80 P:a5
caf4		 JMP (0x4c) 		 A:80 P:a5
cafb		 NOP (0xea) 		 A:80 P:a5
cafc		 CPX (0xe0) 		 A:80 P:27
cafe		 BNE (0xd0) 		 A:80 P:27
cb00		 BMI (0x30) 		 A:80 P:27
cb02		 BCC (0x90) 		 A:80 P:27
cb04		 JMP (0x4c) 		 A:80 P:27
cb0b		 NOP (0xea) 		 A:80 P:27
cb0c		 CPX (0xe0) 		 A:80 P:a4
cb0e		 BCS (0xb0) 		 A:80 P:a4
cb10		 BEQ (0xf0) 		 A:80 P:a4
cb12		 BPL (0x10) 		 A:80 P:a4
cb14		 JMP (0x4c) 		 A:80 P:a4
cb1b		 NOP (0xea) 		 A:80 P:a4
cb1c		 CPX (0xe0) 		 A:80 P:25
cb1e		 BCC (0x90) 		 A:80 P:25
cb20		 BEQ (0xf0) 		 A:80 P:25
cb22		 BMI (0x30) 		 A:80 P:25
cb24		 JMP (0x4c) 		 A:80 P:25
cb2b		 NOP (0xea) 		 A:80 P:25
cb2c		 SEC (0x38) 		 A:80 P:25
cb2d		 CLV (0xB8) 		 A:80 P:25
cb2e		 LDX (0xa2) 		 A:80 P:a5
cb30		 BEQ (0xf0) 		 A:80 P:a5
cb32		 BPL (0x10) 		 A:80 P:a5
cb34		 BVS (0x70) 		 A:80 P:a5
cb36		 BCC (0x90) 		 A:80 P:a5
cb38		 JMP (0x4c) 		 A:80 P:a5
cb3f		 NOP (0xea) 		 A:80 P:a5
cb40		 CLC (0x18) 		 A:80 P:a4
cb41		 BIT (0x24) ZeroPage(1)=255		 A:80 P:e4
cb43		 LDX (0xa2) 		 A:80 P:66
cb45		 BNE (0xd0) 		 A:80 P:66
cb47		 BMI (0x30) 		 A:80 P:66
cb49		 BVC (0x50) 		 A:80 P:66
cb4b		 BCS (0xb0) 		 A:80 P:66
cb4d		 JMP (0x4c) 		 A:80 P:66
cb54		 NOP (0xea) 		 A:80 P:66
cb55		 SEC (0x38) 		 A:80 P:67
cb56		 CLV (0xB8) 		 A:80 P:27
cb57		 LDY (0xa0) 		 A:80 P:a5
cb59		 BEQ (0xf0) 		 A:80 P:a5
cb5b		 BPL (0x10) 		 A:80 P:a5
cb5d		 BVS (0x70) 		 A:80 P:a5
cb5f		 BCC (0x90) 		 A:80 P:a5
cb61		 JMP (0x4c) 		 A:80 P:a5
cb68		 NOP (0xea) 		 A:80 P:a5
cb69		 CLC (0x18) 		 A:80 P:a4
cb6a		 BIT (0x24) ZeroPage(1)=255		 A:80 P:e4
cb6c		 LDY (0xa0) 		 A:80 P:66
cb6e		 BNE (0xd0) 		 A:80 P:66
cb70		 BMI (0x30) 		 A:80 P:66
cb72		 BVC (0x50) 		 A:80 P:66
cb74		 BCS (0xb0) 		 A:80 P:66
cb76		 JMP (0x4c) 		 A:80 P:66
cb7d		 NOP (0xea) 		 A:80 P:66
cb7e		 LDA (0xa9) 		 A:55 P:64
cb80		 LDX (0xa2) 		 A:55 P:e4
cb82		 LDY (0xa0) 		 A:55 P:64
cb84		 CMP (0xc9) 		 A:55 P:67
cb86		 BNE (0xd0) 		 A:55 P:67
cb88		 CPX (0xe0) 		 A:55 P:67
cb8a		 BNE (0xd0) 		 A:55 P:67
cb8c		 CPY (0xc0) 		 A:55 P:67
cb8e		 BNE (0xd0) 		 A:55 P:67
cb90		 CMP (0xc9) 		 A:55 P:67
cb92		 BNE (0xd0) 		 A:55 P:67
cb94		 CPX (0xe0) 		 A:55 P:67
cb96		 BNE (0xd0) 		 A:55 P:67
cb98		 CPY (0xc0) 		 A:55 P:67
cb9a		 BNE (0xd0) 		 A:55 P:67
cb9c		 CMP (0xc9) 		 A:55 P:e4
cb9e		 BEQ (0xf0) 		 A:55 P:e4
cba0		 CPX (0xe0) 		 A:55 P:e4
cba2		 BEQ (0xf0) 		 A:55 P:e4
cba4		 CPY (0xc0) 		 A:55 P:e4
cba6		 BEQ (0xf0) 		 A:55 P:e4
